Unnamed: 0,12. Fruits,பொள்ளான்,पा॑ळ्ळान्,ꢦꣁꢳ꣄ꢳꢵꢥ꣄
அத்திப்பழம்  ,fig,உம்பு3ளொ,उम्बुळा॑,ꢆꢦ꣄ꢨꢸवꣁ
அயினிச் சக்கை   ,a kind of small jack fruit,பொ2ன்னிஸுபொள்ளொ,फ॑न्निसुपा॑ळ्ळा॑,ꢧꣁꢥ꣄ꢥꢶꢱꢸ ꢦꣁ꣄ꢳ꣄ꢳꣁ
அன்னாசி  ,pineapple,ஜா2டு3பொள்ளொ,झाडुपा॑ळ्ळा॑,ꢚꢵꢞꢸꢦꣁꢳ꣄ꢳꣁ
ஆப்பிள்  ,apple,ஆப்பிள்,आप्पिळ,ꢃꢦ꣄ꢦꢳ꣄
ஆரஞ்சு  ,orange,ஆரஞ்ஜி,आरञ्जि,ꢃꢬꢛ꣄ꢙꢶ
இலந்தைப் பழம்   ,Indian cherry,போ3ருபொள்ளொ,बा॑रुपा॑ळ्ळा॑,ꢨꣂꢬꢸ ꢦꣁꢳ꣄ꢳꣁ
ஈச்சம் பழம்   ,date fruit (country),பெச்சம் பொள்ளொ,प॑र्च्चर्पा॑ळ्ळा॑,ꢦꢾꢬ꣄ꢗ꣄ꢗꢪ꣄ꢦꣁꢳ꣄ꢳꣁ
காய்  ,unriped fruit,கய்லொ,कय्ला॑,ꢒꢫ꣄ꢭꣁ
கொட்டங்கச்சி  ,coconut shell,சிப்பொ,चिप्पा॑,ꢗꢶꢦ꣄ꢦꣁ
கொட்டை  ,nut,கொட்டெ,का॑ट्ट॑,ꢒꣁꢜ꣄ꢜꢾ
கொய்யா  ,guava,இம்பு3ளொ,इम्बुळा॑,ꢄꢪ꣄ꢨꢸꢳꣁ
சப்போட்டா  ,sapota,சப்போட்டா,चप्प्पा॑ट्टा,ꢗꢦ꣄ꢦꣂꢜ꣄ꢜꢵ
சீதாப் பழம்   ,sita fruit,ஸீதாபொள்ளொ,सीतापा॑ळ्ळा॑,ꢱꢷꢡꢵ ꢦꣁꢳ꣄ꢳꣁ
சுளை  ,petal of the cluster fruit (jack),கீத்,कीत,ꢒꢷꢡ꣄
தக்காளி  ,tomato,தக்காளி,तक्काळि,ꢡꢒ꣄ꢒꢵꢳꢶ
தர்பூசணி  ,water melon,த3ர்பூ3ஸ்,दर्बूस्,ꢣꢬ꣄ꢨꢹꢱ꣄
திராட்சை,grapes,தி3ராக்ஷொ,तिराक्ष,ꢡꢶꢬꢵꢒ꣄ꢰꣁ
தோல்  ,skin of the fruit,தொவ்டொ,ता॑व्टा॑,ꢡꣁꢮ꣄ꢞꣁ
நார்  ,fibre,தொ3ரி/நாரொ,"दा॑रि, नारा॑","ꢣꣁꢬꢶ, ꢥꢵꢬꣁ"
நார்த்தங்காய்  ,a variety of fibre lime,வீட்,वीट्,ꢮꢷꢜ꣄
நாவல் பழம்   ,black berry,ஜெம்பு3பொள்ளொ,ज॑म्बुपा॑ळ्ळा॑,ꢙꢾꢪ꣄ꢨꢸ ꢦꣁꢳ꣄ꢳꣁ
நெற்று  ,fully ripped coconut or any fruit,ஸுக்கெநரள்,सुक्क॑ नरळ,ꢱꢸꢒ꣄ꢒꢾꢥꢬꢳ꣄
நேந்திரம் பழம்   ,banana (big variety),நேந்தி3ரம் கெளொ,नेन्दिरम्क॑ळा॑,ꢥꢿꢥ꣄ꢣꢶꢬꢪ꣄ ꢒꢾꢳꣁ
பப்பாளி  ,papaya,பப்பாளி,पप्पाळि,ꢦꢦ꣄ꢦꢵꢳꢶ
பழம்  ,fruit,பொள்ளொ/பள்ளொ,"पा॑ळ्ळा॑, पल्ला॑","ꢦꣁꢳ꣄ꢳꣁ, ꢦꢳ꣄ꢳꣁ"
பனம்பழம்  ,palmyra palm fruit,தாடி3பொள்ளொ,ताडिपोळ्ळा॑,ꢡꢵꢞꢶ ꢦꣁꢳ꣄ꢳꣁ
பிஞ்சு  ,tender fruit,பிந்த3பொம்பு3ள பொள்ளொ,पिन्द पा॑म्बुळ पाळ्ळा॑,ꢦꢶꢥ꣄ꢣ ꢦꣁꢪ꣄ꢨꢸꢳ ꢦꣁꢳ꣄ꢳꣁ
பேரிக்காய்  ,a kind of pear-wood apple,பே4ரிகய்லொ,भेरिकय्लो,ꢩꢿꢬꢶꢒꢫ꣄ꢭꣁ
மாங்காய்  ,raw mango,கச்சம்பொ3,कच्चम्बा॑,ꢒꢗ꣄ꢗꢪ꣄ꢨꣁ
மாதுளை  ,pomegranate,த3டி3ம்பொள்ளொ,दटिम्पा॑ळ्ळा॑,ꢣꢜꢶꢪ꣄ꢦꣁꢳ꣄ꢳꣁ
மாம்பழம்  ,mango fruit,கச்சம்பா3பொ3ள்ளொ,कच्चम्बा पा॑ळ्ळा॑,ꢒꢗ꣄ꢗꢪ꣄ꢨꢵ ꢨꣁꢳ꣄ꢳꣁ
முந்திரி  ,cashew,முந்திரி,मुन्तिरि,ꢪꢸꢥ꣄ꢡꢶꢬꢶ
முந்திரிக் கொட்டை  ,cashew nut,முந்திரிக்கொட்டெ,मुन्तिरि का॑ट्ट॑,ꢪꢸꢥ꣄ꢡꢶꢬꢶꢒ꣄ ꢒꣁꢜ꣄ꢜꢾ
வாழைப்பழம்  ,banana fruit,கெளொ,क॑ळा॑,ꢒꢾꢳꣁ
வித்து  ,seed,பீ3க்/வித்து,"बीक, वित्तु","ꢨꢷꢒ꣄, ꢮꢶꢡ꣄ꢡꢸ"
விதை  ,seed,பீ3ஜ்,पीज्,ꢨꢷꢙ꣄
வெள்ளரிப்பழம்  ,cucumber fruit,வள்காபொள்ளொ,वळ्का पा॑ळ्ळा॑,ꢮꢳ꣄ꢒꢵ ꢦꣁꢳ꣄ꢳꣁ
