ꢣꢭ꣄ꢭꣁ,दल्ला॑,த3ல்லொ,male,ஆண் 
ꢙꢾꢥꣁ,ज॑ना॑,ஜெனொ,person,ஆள் 
ꢙꢮ꣄ꢠꣁ,जव्णा॑\ना॑ जव्णपन्,ஜவ்ணொ,Youth/ youth stage,இளமை/ இளமைப் பருவம்
ꢥꣁ,यौवना॑,னொ,Youth/ youth stage,இளமை/ இளமைப் பருவம்
ꢙꢮ꣄ꢠꢦꢥ꣄,यौवना॑,ஜவ்ணபன்,Youth/ youth stage,இளமை/ இளமைப் பருவம்
ꢫꣃꢮꢥꣁ,यौवना॑,யௌவனொ,Youth/ youth stage,இளமை/ இளமைப் பருவம்
ꢙꢮ꣄ꢠꣁ,जव्णा॑,ஜவ்ணொ,young man,இளைஞன் 
ꢙꢮ꣄ꢠꢶ,जव्णि,ஜவ்ணி,Younger woman,இளையவள் 
ꢥꢴꢥ꣄ꢥꣁ,न्हन्ना॑,ந:ன்னொ,Younger man,இளையவன் 
ꢕꢾꢬ꣄ꢮꢵꢬ꣄,घ॑र्वार,கெ4ர்வார்,pregnancy,கர்ப்பம் 
ꢕꢾꢮ꣄ꢬꢵꢬ꣄,घेव्रार,கெ4வ்ரார்,pregnancy,கர்ப்பம் 
ꢕꢾꢬ꣄ꢮꢬꢶꢥ꣄,घघ॑र्वरिन,கெ4ர்வரின்,pregnant woman,கர்ப்பிணி 
ꢕꢾꢮ꣄ꢬꢬꢶꢥ꣄,घ॑व्ररिन्,கெ4வ்ரரின்,pregnant woman,கர்ப்பிணி 
ꢒꢥ꣄ꢫꣁ,कन्या॑,கன்யொ,virgin­,கன்னி 
ꢣꣁꢮ꣄ꢬꣁ,दा॑व्रा॑,தொ3வ்ரொ,old man,கிழவன் 
ꢣꣁꢮ꣄ꢬꢶ,दा॑व्रि,தொ3வ்ரி,old woman,கிழவி 
ꢦꢶꢭ꣄ꢭꣁ,पिल्ला॑,பில்லொ,young one of birds,குஞ்சு 
ꢦꢶꢭ꣄ꢭꣁ,पिल्ला॑,பில்லொ,young one of animals,குட்டி 
ꢒꢸꢪꢵꢬꣁ,कुमारा॑,குமரொ,unmarried young man,குமரன் 
ꢒꢸꢪꢵꢬꢶ,कुमारि,குமரி,unmarried young girl,குமரி 
ꢥꢴꢸꢒ꣄ꢬꢸ,न्हुक्रु,நு:க்ரு,child,குழந்தை 
ꢥꢴꢸꢬꢸ,न्हुरु,நு:ரு,child,குழந்தை 
ꢥꢴꢸꢬꢸꢦꢥ꣄,न्हुरुपन्,நு:ருபன்,childhood,குழந்தைப் பருவம் 
ꢨꢵꢭ꣄ꢫꢦꢥ꣄,बाल्यपन्,பா3ல்யபன்,childhood,குழந்தைப் பருவம் 
ꢨꢵꢭ꣄ꢫꢪ꣄,बाल्यम्,பா3ல்யம்,childhood,குழந்தைப் பருவம் 
ꢥꢴꢥ꣄ꢥꢶ,न्हन्नि,ந:ன்னி,child­,குழவி 
ꢥꢴꢥ꣄ꢥꢶ,न्हन्नि,ந:ன்னி,girl,சிறுமி 
ꢥꢴꢥ꣄ꢥꣁ,न्हन्नो,ந:ன்னொ,boy,சிறுவன் 
ꢦ꣄ꢬꢵꢫꢪ꣄,प्रायम,ப்ராயம்,stage,பருவம் 
ꢨꢵꢭꢦ꣄ꢬꢵꢫꢪ꣄ ,बलप्रायम,பா3லப்ராயம்,young stage,பால பருவம்
ꢨꢵꢳꢸꢥ꣄,बळुन,பா3ளுன்,young children,பாலர் 
ꢏꢬ꣄ꢱꢸ,आ॑र्सु,ஒர்ஸு,"age, stage",பிராயம் 
ꢏꢱ꣄ꢱꢸ,आ॑स्सु,ஒஸ்ஸு,"age, stage",பிராயம் 
ꢦꢶꢭ꣄ꢭꣁ,पिल्ला॑,பில்லொ,child,பிள்ளை/ மழலை 
ꢂꢪ꣄ꢨꢸꢭꣁ,अम्बुला॑,அம்பு3லொ,husband,புருஷன் 
ꢣꢭ꣄ꢭꣁ,दल्ला॑,த3ல்லொ,husband,புருஷன் 
ꢨꢾꢜ꣄ꢒꢶ,ब॑ट्कि,பெ3ட்கி, girl,பெண் 
ꢂꢳꢶꢶ,अळि,அளி, girl,பெண் 
ꢨꢾꢜ꣄ꢒꣁ,ब॑ट्का॑,பெ3ட்கொ,boy ,பையன் 
ꢥꢴꢸꢒ꣄ꢬꢸ,न्हुक्रु,நு:க்ரு,child,மகவு/ மதலை 
ꢥꢴꢸꢬꢸ,न्हुरु,நு:ரு,child,மகவு/ மதலை 
ꢪꢾꢥꢶꢒ꣄ \ ꢣꢭ꣄ꢭꢒ꣄ꢒꣁ,म॑निक \ दल्लक्का॑,மெனிக்,man,மனிதன் 
ꢪꢾꢥꢶꢒ꣄ \ ꢣꢭ꣄ꢭꢒ꣄ꢒꣁ,म॑निक \ दल्लक्का॑,த3ல்லக்கொ,man,மனிதன் 
ꢂꢪ꣄ꢪꢒ꣄ꢒꣁ,अम्मक्का॑,அம்மக்கொ,woman,மனுஷி 
ꢪꢵꢥꢸꢰꢪ꣄,मानुषम,மானுஷம்,human,மானுடம்
ꢏꢭ꣄ꢞꢶꢥ꣄,आ॑ल्डिन,ஒள்டி3ன்,old woman,முதியவள் 
ꢏꢭ꣄ꢞꣁ,आ॑ल्डो,ஒள்டொ3,old man,முதியவன் 
ꢣꢸꢒ꣄ꢬꣁ,दुक्रा॑,து3க்ரொ,old age,"முதுமை,மூப்பு"
ꢣꣁꢮ꣄ꢬꢦꢥ꣄,दा॑व्रपन,தொ3வ்ரபன்,old age,"முதுமை,மூப்பு"
ꢫꢸꢮꢡꢶ,युवति,யுவதி,young unmarried girl,யுவதி 
ꢫꢸꢮꣁ,युवा॑,யுவொ,young man (bachelor),யுவன் 
ꢫꢸꢮꢥ꣄,युवन,யுவன்,young man (bachelor),யுவன் 
ꢙꢮ꣄ꢥꢠꢦꢥ꣄,जव्णपन,ஜவ்ணபன்,youth,யெளவனம் 
ꢫꣃꢮꢥꢪ꣄,यौवनम,யௌவனம்,youth,யெளவனம் 
ꢏꢬ꣄ꢱꢸ,आ॑र्सु,ஒர்ஸு,age,வயது 
ꢏꢬ꣄ꢱꢸ,आ॑र्सु,ஒஸ்ஸு,age,வயது 
ꢙꢮ꣄ꢠꢦ꣄ꢦꢥ꣄,ज्व्णपन,ஜவ்ணபன்,youth stage,வாலிபப் பருவம் 
ꢙꢮ꣄ꢠꢡ꣄ꢮꢪ꣄,जव्णत्वम,ஜவ்ணத்வம்,youth,வாலிபம் 
ꢙꢮ꣄ꢠꣁ,जव्णा॑,ஜவ்ணொ,young man (bachelor),வாலிபன் 
