ꢣꢫ꣄ꢬꣁ,दय्रा॑,த3ய்ரொ,dayro',dayrO,dayrŏ,d̪əjɾo,left side,இடது
ꢣꢫ꣄ꢬ,दय्र,த3ய்ர,dayra,dayra,dayra,d̪əjɾə,left side,இடம்
ꢓꣃꢥꢱ꣄,खौनस,கௌ2னஸ்,khaunas,khaunas,khaunas,kʰəun̪əs̪,east,கிழக்கு
ꢣꢶꢒ꣄ꢒꢸ,दिक्कु,தி3க்கு,dikku,dikku,dikku,d̪ɪkku,direction,திக்கு
ꢣꢶꢱꣁ ,दिसा॑,தி3ஸொ,diso',disO,disŏ,d̪ɪs̪o,direction,திசை
ꢣꢾꢒ꣄ꢰꢠ꣄,द॑क्षण्,தெ3க்ஷண்,de'kshan,dEkSaN,dĕkṣaṇ,d̪ekʂəɳ,south,தெற்கு
ꢣꢾꢒ꣄ꢰꢓꣃꢥꢱ꣄,द॑क्षखौनस,தெ3க்ஷகௌ2னஸ்,de'kshakhaunas,dEkSakhaunas,dĕkṣakhaunas,d̪ekʂəkʰəun̪əs̪,south-east,தென்கிழக்க
ꢣꢾꢒ꣄ꢰꣁꢱ꣄ꢡꣁ,द॑क्षोस्ता॑,தெ3க்ஷொஸ்தொ,de'ksho'sto',dEkSOstO,dĕkṣŏstŏ,d̪ekʂos̪t̪o,south-west,தென்மேற்கு
ꢆꢡ꣄ꢡꢬ꣄,उत्तर,உத்தர்,uttar,uttar,uttar,ut̪t̪əɾ,north,வடக்கு
ꢆꢡ꣄ꢓꣃꢥꢱ꣄ ,उखौनस,உத்கௌ2னஸ்,utkhaunas,utkhaunas,utkhaunas,ut̪kʰəun̪əs̪,north-east,வடகிழக்கு
ꢆꢡ꣄ꢲꣁꢱ꣄ꢡꣁ,उत हा॑स्ता॑,உத்ஹொஸ்தொ,ut_ho'sto',ut_hOstO,ut_hŏstŏ,ut̪_ɦos̪t̪o,north-west,வடமேற்கு
ꢙꢫ꣄ꢥꣁ,जय्ना॑,ஜய்நொ,jayno',jaynO,jaynŏ,d͡ʒəjn̪o,right side,வலது
ꢙꢫ꣄ꢥ,जय्न,ஜய்ந,jayna,jayna,jayna,d͡ʒəjn̪ə,right side,வலம்
