ꢆꢦ꣄ꢨꢸवꣁ,उम्बुळा॑,உம்பு3ளொ,fig,அத்திப்பழம்  
ꢧꣁꢥ꣄ꢥꢶꢱꢸ ꢦꣁ꣄ꢳ꣄ꢳꣁ,फ॑न्निसुपा॑ळ्ळा॑,பொ2ன்னிஸுபொள்ளொ,a kind of small jack fruit,அயினிச் சக்கை   
ꢚꢵꢞꢸꢦꣁꢳ꣄ꢳꣁ,झाडुपा॑ळ्ळा॑,ஜா2டு3பொள்ளொ,pineapple,அன்னாசி  
ꢃꢦ꣄ꢦꢳ꣄,आप्पिळ,ஆப்பிள்,apple,ஆப்பிள்  
ꢃꢬꢛ꣄ꢙꢶ,आरञ्जि,ஆரஞ்ஜி,orange,ஆரஞ்சு  
ꢨꣂꢬꢸ ꢦꣁꢳ꣄ꢳꣁ,बा॑रुपा॑ळ्ळा॑,போ3ருபொள்ளொ,Indian cherry,இலந்தைப் பழம்   
ꢦꢾꢬ꣄ꢗ꣄ꢗꢪ꣄ꢦꣁꢳ꣄ꢳꣁ,प॑र्च्चर्पा॑ळ्ळा॑,பெச்சம் பொள்ளொ,date fruit (country),ஈச்சம் பழம்   
ꢒꢫ꣄ꢭꣁ,कय्ला॑,கய்லொ,unriped fruit,காய்  
ꢗꢶꢦ꣄ꢦꣁ,चिप्पा॑,சிப்பொ,coconut shell,கொட்டங்கச்சி  
ꢒꣁꢜ꣄ꢜꢾ,का॑ट्ट॑,கொட்டெ,nut,கொட்டை  
ꢄꢪ꣄ꢨꢸꢳꣁ,इम्बुळा॑,இம்பு3ளொ,guava,கொய்யா  
ꢗꢦ꣄ꢦꣂꢜ꣄ꢜꢵ,चप्प्पा॑ट्टा,சப்போட்டா,sapota,சப்போட்டா  
ꢱꢷꢡꢵ ꢦꣁꢳ꣄ꢳꣁ,सीतापा॑ळ्ळा॑,ஸீதாபொள்ளொ,sita fruit,சீதாப் பழம்   
ꢒꢷꢡ꣄,कीत,கீத்,petal of the cluster fruit (jack),சுளை  
ꢡꢒ꣄ꢒꢵꢳꢶ,तक्काळि,தக்காளி,tomato,தக்காளி  
ꢣꢬ꣄ꢨꢹꢱ꣄,दर्बूस्,த3ர்பூ3ஸ்,water melon,தர்பூசணி  
ꢡꢶꢬꢵꢒ꣄ꢰꣁ,तिराक्ष,தி3ராக்ஷொ,grapes,திராட்சை
ꢡꣁꢮ꣄ꢞꣁ,ता॑व्टा॑,தொவ்டொ,skin of the fruit,தோல்  
"ꢣꣁꢬꢶ, ꢥꢵꢬꣁ","दा॑रि, नारा॑",தொ3ரி/நாரொ,fibre,நார்  
ꢮꢷꢜ꣄,वीट्,வீட்,a variety of fibre lime,நார்த்தங்காய்  
ꢙꢾꢪ꣄ꢨꢸ ꢦꣁꢳ꣄ꢳꣁ,ज॑म्बुपा॑ळ्ळा॑,ஜெம்பு3பொள்ளொ,black berry,நாவல் பழம்   
ꢱꢸꢒ꣄ꢒꢾꢥꢬꢳ꣄,सुक्क॑ नरळ,ஸுக்கெநரள்,fully ripped coconut or any fruit,நெற்று  
ꢥꢿꢥ꣄ꢣꢶꢬꢪ꣄ ꢒꢾꢳꣁ,नेन्दिरम्क॑ळा॑,நேந்தி3ரம் கெளொ,banana (big variety),நேந்திரம் பழம்   
ꢦꢦ꣄ꢦꢵꢳꢶ,पप्पाळि,பப்பாளி,papaya,பப்பாளி  
"ꢦꣁꢳ꣄ꢳꣁ, ꢦꢳ꣄ꢳꣁ","पा॑ळ्ळा॑, पल्ला॑",பொள்ளொ/பள்ளொ,fruit,பழம்  
ꢡꢵꢞꢶ ꢦꣁꢳ꣄ꢳꣁ,ताडिपोळ्ळा॑,தாடி3பொள்ளொ,palmyra palm fruit,பனம்பழம்  
ꢦꢶꢥ꣄ꢣ ꢦꣁꢪ꣄ꢨꢸꢳ ꢦꣁꢳ꣄ꢳꣁ,पिन्द पा॑म्बुळ पाळ्ळा॑,பிந்த3பொம்பு3ள பொள்ளொ,tender fruit,பிஞ்சு  
ꢩꢿꢬꢶꢒꢫ꣄ꢭꣁ,भेरिकय्लो,பே4ரிகய்லொ,a kind of pear-wood apple,பேரிக்காய்  
ꢒꢗ꣄ꢗꢪ꣄ꢨꣁ,कच्चम्बा॑,கச்சம்பொ3,raw mango,மாங்காய்  
ꢣꢜꢶꢪ꣄ꢦꣁꢳ꣄ꢳꣁ,दटिम्पा॑ळ्ळा॑,த3டி3ம்பொள்ளொ,pomegranate,மாதுளை  
ꢒꢗ꣄ꢗꢪ꣄ꢨꢵ ꢨꣁꢳ꣄ꢳꣁ,कच्चम्बा पा॑ळ्ळा॑,கச்சம்பா3பொ3ள்ளொ,mango fruit,மாம்பழம்  
ꢪꢸꢥ꣄ꢡꢶꢬꢶ,मुन्तिरि,முந்திரி,cashew,முந்திரி  
ꢪꢸꢥ꣄ꢡꢶꢬꢶꢒ꣄ ꢒꣁꢜ꣄ꢜꢾ,मुन्तिरि का॑ट्ट॑,முந்திரிக்கொட்டெ,cashew nut,முந்திரிக் கொட்டை  
ꢒꢾꢳꣁ,क॑ळा॑,கெளொ,banana fruit,வாழைப்பழம்  
"ꢨꢷꢒ꣄, ꢮꢶꢡ꣄ꢡꢸ","बीक, वित्तु",பீ3க்/வித்து,seed,வித்து  
ꢨꢷꢙ꣄,पीज्,பீ3ஜ்,seed,விதை  
ꢮꢳ꣄ꢒꢵ ꢦꣁꢳ꣄ꢳꣁ,वळ्का पा॑ळ्ळा॑,வள்காபொள்ளொ,cucumber fruit,வெள்ளரிப்பழம்  
