ꢂꢪꢵꢱ꣄,अमास्,அமாஸ்,new moon,அமாவாசை  
ꢮꢬꢵ ꢒꢵꢭ꣄,वरा काल,வரா கால்,autumn,இலையுதிர்காலம்   
ꢱꢨ꣄ꢣꢸ,सप्तु,ஸப்3து3,sound,ஒலி  
ꢦ꣄ꢬꢒꢵꢰ꣄,प्रकाष,ப்ரகாஷ்,light,ஒளி  
ꢮꢵꢡꢵꢮꢬꢥ꣄,वातावरन,வாதாவரன்,weather,காலநிலை  
ꢮꢿꢳ꣄꣄,वेळ,வேள்,season,காலம்  
ꢒꢵꢭ꣄,काल्,கால்,season,காலம்  
ꢲꢶꢪꢸꢱ꣄,हिमुस्,ஹிமுஸ்,chill/coldness,குளிர்  
ꢲꢶꢪ꣄ꢳꣁ,हिमुळा॑,ஹிமளொ,winter season,குளிர்காலம்  
ꢲꢶꢪꢸꢱꢹ ꢒꢵꢭ꣄,हिमुसु काल,ஹிமுஸுகால்,winter season,குளிர்காலம்  
ꢲꢹꢥꢸꢒꢵꢭ꣄,हूनुकाल,ஹூனுகால்,summer season,கோடை காலம்   
ꢔ꣄ꢬꢷꢰ꣄ꢪ ꢒꢵꢭ꣄,ग्रीष्म काल,க்3ரீஷ்ம கால்,summer season,கோடை காலம்   
ꢲꢹꢥ꣄ꢥꣁ,हून्ना॑,ஹுன்னொ,heat,சூடு  
ꢱꢶꢳ꣄ꢳꣁ,सिळ्ळा॑,ஸிள்ளொ,cold,தட்பம்  
ꢯꢷꢡꢳ꣄,शीतळ,ஶீதள்,cold,தட்பம்  
ꢱꢷꢡꣂꢰ꣄ꢠꣁ,सीता॑ष्णा॑,ஸீதோஷ்ணொ,climate/weather,தட்பவெப்ப நிலை   
ꢪꢸꢒꢸꢭ꣄ ꢮꢬꣁ,मुकुल्वरा॑,முகுல் வரொ,southwind/ breeze,தென்றல்  
ꢬꢸꢡꢸ,रुतु,ருது,season,பருவம்  
ꢬꢸꢡꢸ ꢦꣁꢮ꣄ꢱ꣄,रुतु पा॑व्स,ருது பொவ்ஸ்,monsoon,பருவ மழை   
ꢲꢶꢪꢸꢱ꣄ꢒꢵꢭ꣄,हिमुसुकाल,ஹிமுஸுகால்,winter,பனிக்காலம்  
ꢲꢸꢪꢳꣁ,हिमळा॑,ஹிமளொ,winter,பனிக்காலம்  
ꢦꢸꢠ꣄ꢠꢶꢪ꣄,पुण्णिम,புண்ணிம்,full moon,பெளர்ணமி  
ꢦꢹꢬ꣄ꢠꢶꢪꣁ,पूर्णिमा॑,பூர்ணிமொ,full moon,பெளர்ணமி  
ꢮꢱꢥ꣄ꢡ ꢒꢵꢭ꣄,वसन्त काल,வஸந்த கால்,spring season,வசந்த காலம்  
ꢮꢱꢥ꣄ꢡ ꢬꢸꢡꢸ,वसन्त रुतु,வஸந்த ருது,spring season,வசந்த காலம்  
ꢏꢱ꣄ꢡꢵ ꢮꢬꣁ,आ॑स्ता वरा॑,ஒஸ்தா வரொ,northwind,வாடை  
ꢲꢸꢥ꣄ꢥꣁ,हुन्ना॑,ஹுன்னொ,heat,வெப்பம்  
ꢲꢹꢥꢸ ꢒꢵꢭ꣄,हूनु काल,ஹூனு கால்,summer season,வேனிற்காலம்  
ꢔ꣄ꢬꢷꢰ꣄ꢪ ꢬꢸꢡꢸ,ग्रीष्म रुतु,க்3ரீஷ்ம ருது,summer season,வேனிற்காலம்  
